Title,Year,Rating,Votes,Synopsis,Runtime
Val,2021,5.1,850.0,"A criminal on the run breaks into the home of a high class escort, only to realize nothing is as it seems.",1h 21m
Toxikoma,2021,7.0,3000.0,"The film deals with the chapter of Gyozo Szabo's book of the same title, which is about the actor's toughest period, the drug crash that lasts for years, as Gyozo falls on the atoms of his life, and then enters the withdrawal cure, where he is treated by Dr. Csernus. Because of his style, the film shows the struggle and tension of each other, a psychiatrist who almost plays God and the drugged alpha male.",2h 4m
Magnetic Fields,2021,6.7,2000.0,"Having met by chance on the way to an island, a woman and a man decide to wander around together in search of a good place to bury a metallic box.",1h 18m
Megaboa,2021,2.7,546.0,A group of college students head into the rainforest to look for cave drawings. But a once thought to be extinct fifty-foot boa constrictor is out hungry for blood.,1h 25m
Ascendant,2021,3.6,987.0,"A young environmentalist wakes, trapped, kidnapped in the elevator of a super high-rise building at the mercy of her tormentors",1h 42m
Lulli,2021,4.9,1900.0,"After getting electrocuted by an MRI machine, an ambitious young medical student begins to hear the thoughts of others.",1h 30m
Tribhanga,2021,6.2,3300.0,The lives of three women spanning the late 1980s to present day and underscores the value of family in everyday life.,1h 35m
Luzzu,2021,6.9,2000.0,A man risks everything to provide for his wife and newborn son by entering Malta's black-market fishing industry.,1h 34m
Infected: The Darkest Day,2021,2.7,534.0,A deadly virus is sweeping the country and one man may hold the key to defeating it - if he can survive.,1h 21m
The Legend of Jack and Jill,2021,3.0,771.0,A horror retelling of the nursery rhyme Jack and Jill. A group of friends grieving a recent loss meet up with one another only to discover they are being hunted by Jack and Jill.,1h 31m
Kadaseela Biriyani,2021,7.4,1600.0,Chicku Pandi has one day to slip away from his revenge hungry brothers.,1h 55m
Jagged,2021,7.3,1900.0,Documentary centers on the life and work of Canadian singer-songwriter Alanis Morissette while making her breakout album 'Jagged Little Pill',1h 39m
Annaatthe,2021,4.0,11000.0,"Kaaliyan has a sister who marries a young man without the permission from Kaaliyan and moves to Kolkata with her husband , where she faces unknown threats. Soon her brother Kaaliyan comes to the rescue.",2h 43m
The Soul,2021,6.6,3500.0,"The founder of a corporation developing a futuristic cancer treatment is brutally murdered, and a prosecutor sidelined by the illness asks to lead the case, assisted by his newly pregnant detective wife.",2h 10m
The Code,2021,3.3,581.0,"Set 200 years in the future, a small band of rebels face off against the status quo where humans have achieved immortality through genetic engineering",1h 23m
Bright: Samurai Soul,2021,5.5,1200.0,"Izo, a Ronin, and Raiden, an orc, work to bring a young elf girl and the wand she carries to the land of the elves in the north.",1h 20m
The Waiter,2021,5.5,521.0,A waiter pretends to be an important businessman in order to reach the upper class through his entrepreneurial dreams.,1h 27m
The Demented,2021,3.1,3000.0,"For one female entity time stands still, while for another time travels back and forth between the plains of the supernatural and the earthly horrors of exploitation and murder.",1h 36m
Red Carpet,2021,3.3,550.0,An aspiring actress gets caught up in L.A.'s underworld.,1h 19m
Futura,2021,6.8,568.0,"A portrait of Italy observed through the eyes of teenagers who talk about the places they live in and imagine themselves, torn between the opportunities that surround them, the dream of what they want to become, the fear of failing, the trials they hope to overcome.",1h 45m
The Rebels of PT-218,2021,3.3,821.0,"At the height of World War II, the Atlantic Ocean becomes a deadly battleground as an American torpedo boat fights against the constant bombardment of German forces.",1h 28m
Softie,2021,7.1,1400.0,"Follows ten year-old Johnny who stands out in different aspects way beyond his age. Things change when his new teacher sees his potential, believes in him and wants to open a new world to him.",1h 33m
Canvas,2021,5.6,1100.0,"When a demon known as 'The Painter' comes to Earth, FBI agent George Rohan finds himself tasked with covering up The Painter's multiplying murders. Meanwhile a journalist, Reila Martin works to unveil George's growing web of lies.",1h 23m
One for the Road,2021,7.2,1400.0,"Boss, a high-end club owner living in New York, receives a call from his estranged best friend in Thailand, revealing he has terminal cancer and needs his help to complete a final bucket list.",2h 8m
Glasshouse,2021,5.5,860.0,"Confined to their glasshouse, a family survives The Shred, a toxin that erases memory. Until the sisters are seduced by a Stranger who shatters their peace and stirs a past best left buried.",1h 37m
Lemon and Poppy Seed Cake,2021,6.6,610.0,"In a small town located in the island of Mallorca, Anna and Marina, two sisters who were separated when they were teenagers, meet again to sell a bakery they've inherited from a mysterious woman they know nothing about. The two sisters have led very different lives. Anna has barely left the island and is unhappily married to a man she no longer loves. Marina travels the world working as a doctor for an NGO. As the sisters try to uncover the secrets hidden behind their enigmatic benefactor and her property, they are forced to confront old family disputes and make up for lost time.",1h 58m
Turma da Mônica: Lições,2021,7.6,1400.0,"Monica, Jimmy Five, Maggy, and Smudge try to flee school. Now, they have to face their consequences, and they will not be few.",1h 31m
Suicide Forest Village,2021,5.2,922.0,"One day a mysterious box arrived and a curse began to spread all over. The source of the box is 'Jukai Village'. The village is hidden in Jukai Forest, a suicide spot that once you enter it, you can never come out.",1h 57m
The Restless,2021,6.6,1300.0,Leila and Damien struggle with his bipolar disorder.,1h 57m
Forget Everything and Run,2021,3.8,719.0,"When a terrifying pathogen is released, one family will fight to save their children against a band of marauders, hellbent on revenge.",1h 41m
Madam Chief Minister,2021,4.9,1900.0,The right of a woman to live with dignity has always been at crossroads with society's norms.,2h 10m
Bloodsuckers - A Marxist Vampire Comedy,2021,5.9,541.0,A penniless Soviet refugee falls in love with an eccentric young vampiress spending the summer at the seaside with her awkward servant. A Marxist vampire comedy.,2h 5m
The Only Way Out,2021,6.7,996.0,"Six years after the fire in the nightclub, which her husband died in, Ana Kolar gets closure with judge's verdict marking it as accident. However, one e-mail will make her question what really happened that night and was her husband really the person she thought he was.",1h 50m
Dealer,2021,6.5,999.0,"14-year-old drug dealer Johnny is in a home for young people. When he learns that he cannot go home at weekends any longer, he asks one of his customers, famous successful actor Antony, to be his weekend guardian.",1h 44m
Brother in Love 2,2021,6.5,4100.0,It is wedding time. But a new brother in-law appears. New lies follow others. Life of Aykut becomes a nightmare again.,1h 55m
Mandela,2021,8.4,8900.0,A local barber's fate turns overnight when he becomes the single deciding vote in the village elections.,2h 20m
Bem Bom,2021,6.5,793.0,"In 1979, four young ladies are hired to form a girl band. They can sing, they shine with their dancing, and they shock the country. They become a big hit. They are DOCE.",1h 51m
Ghosts of the Ozarks,2021,4.6,698.0,"In post-Civil War Arkansas, a young doctor is mysteriously summoned to a remote town in the Ozarks only to discover that the utopian paradise is filled with secrets and surrounded by a menacing, supernatural presence.",1h 47m
Last of the Grads,2021,3.5,974.0,"A class of graduating high school seniors celebrate their last night together at the annual school lock-in. They never could have guessed that they're about to encounter the legendary ""Coast to Coast Killer"".",1h 53m
Yue Lao,2021,6.7,1800.0,"Ah-Lun, who has a choice to make in the underworld, decides to be a god of love in Chinese mythology. As he advances with his tasks on Earth, his biggest challenge is to tie a red string with the woman he loved the most.",2h 8m
Pipeline,2021,6.0,1000.0,Six thieves wish to change their lives by stealing oil hidden in a tunnel dozens of meters underground in Korea.,1h 48m
Bhramam,2021,5.7,1600.0,"Sam, an ace pianist and a pretentious blind man accidentally gets thrown into a famous yesteryear celebrity's homicide which turns his life upside down.",2h 32m
Evolution,2021,6.3,650.0,"Episodes trace three generations of a family, from a surreal memory of World War II to modern day Berlin, unable to process their past in a society still coping with the wounds of its history.",1h 37m
Deadly Cuts,2021,5.9,1400.0,A black comedy set in a working-class Dublin hair salon where the stylists become accidental vigilantes and community heroes as they take on the gang members and gentrifiers threatening their community.,1h 30m
Pulikkuthi Pandi,2021,5.2,758.0,"A ruthless youngster becomes a kind and humble husband for his wife but as fate turns brutal, his patience is tested.",2h 32m
A Perfect Fit,2021,5.4,742.0,"Sparks fly when a fashion blogger in Bali meets a gifted shoemaker, leading her to question her commitment to her fiancé.",1h 52m
Poser,2021,5.9,630.0,"As Lennon fuels her desire for entree into a podcast featuring live music and conversations with the artists she so fervently admires, Lennon finds inspiration for her own musical ambitions...and a growing sense of misdirected identity.",1h 27m
Wo he wo de fu bei,2021,6.1,598.0,"Included as the third installment of ""National Day Celebration"" trilogy with My People, My Country (2019) and My People, My Homeland (2020), My Country, My Parents focuses on four Chinese families in four different eras. Combined with 4 stories, through the perspective of ""home"" and ""country"", representing several generations of our predecessors' dedication and sacrifice. The whole movie bring back the audiences to the collective memories of our country, as well as the ordinary and great parental affection between every generation.",2h 37m
Arisaka,2021,5.6,514.0,Follows a policewoman who has to retrace the route of the Bataan Death March to escape her captors.,1h 36m
Playlist,2021,6.3,804.0,"Sophie lands a job with a comic book publisher despite being unqualified for the position. However, her newfound security is threatened when she breaks up with her boyfriend, the father of the child she is carrying.",1h 24m
Dune World,2021,1.5,506.0,"A deep space crew takes a job on a mysterious remote planet. A crash landing strands them on the hostile surface. Soon they find out what creatures live there, and the hidden fate of the crew before them.",1h 10m
Maha Samudram,2021,5.0,1100.0,"Set in Visakhapatnam, the story is about four lives and their roller-coaster romantic ride.",2h 30m
The Elevator,2021,3.2,524.0,"Roman Juniper, a husband, and father of three is forced to go work on the Saturday of his daughter's birthday. He plans to return home in time for his daughter's birthday party before things take a sharp turn of events. His wife and kids are setting up the decorations and food at the house and start to wonder where Roman is since it's well past his clock out time. A man matching Roman's description has been reported as a victim in a life-threatening accident and the Juniper family is extremely distraught and thinks that it could very well be him. They all quickly drive off to the hospital to find out where and what has happened to their loving Roman.",1h 28m
The Love Letter,2021,6.1,544.0,"After being rejected by his ex-girlfriend Léa, Jonas goes to the cafe downstairs to write her a final love letter.",1h 29m
The Getaway King,2021,6.5,2900.0,"An action-crime-comedy set in the last days of communism in Poland; a story of folk-hero thief Naymro, who escaped from the police 29 times and lived on his own terms until love and the collapsing Berlin Wall changed everything.",1h 40m
"Crack: Cocaine, Corruption & Conspiracy",2021,6.7,4000.0,"In the early 1980s, the crack epidemic tore through America’s inner cities like a tsunami, ravaging all in its wake.",1h 29m
Bekenntnisse des Hochstaplers Felix Krull,2021,6.4,934.0,Literary adaptation: a handsome youth of humble origins rises in society through his connections made as an elevator attendant in a luxury hotel.,1h 54m
Gabriel's Rapture,2021,5.7,1400.0,Based on the best selling novel from by Sylvain Reynard.,1h 46m
Behemoth,2021,4.4,831.0,"A desperate father will risk anything, even his soul, to save his terminally ill daughter",1h 28m
Siberian Sniper,2021,5.5,525.0,"During the height of World War II, a Soviet unit's last surviving sniper is sent on a suicide mission to break a German stronghold in order to save his fellow soldiers.",1h 35m
Thimmarusu: Assignment Vali,2021,7.1,1700.0,A lawyer battles corruption both inside and outside the courtroom.,2h 7m
The Stay,2021,3.6,5300.0,"Two couples rent a secluded house for a weekend getaway, and encounter an odd caretaker while facing a dangerous secret.",1h 27m
Misha and the Wolves,2021,6.7,3400.0,"Misha and the Wolves is the dramatic tale of a woman whose holocaust memoir took the world by storm, but a fallout with her publisher - who turned detective - revealed an audacious deception created to hide a darker truth.",1h 30m
The Blood of Wolves II,2021,6.7,860.0,"Set several years after The Blood Of Wolves and Ogami Shogo's death in the Western city of Hiroshima, the detective's plan to surround and control the yakuza low-lives has been implemented and is working. Much bloodshed and potential death has been prevented. However, the release of one criminal element places everything in jeopardy.",2h 19m
4 Kings,2021,6.3,682.0,"Inspired by the real story of the conflict between the student from four different technician colleges in the 90s, where violence can be used to build friendships and enemies at the same time.",2h 19m
The House of Flowers: The Movie,2021,5.5,1100.0,The De La Mora siblings concoct a mischievous plan to break into their old family home to retrieve a hidden treasure of significant importance.,1h 26m
Marry Me Again?,2021,5.3,1500.0,"A comedy that revolves around the experience of marriage, and if husbands can go back in time will they marry their wives again?",1h 40m
Capitol Punishment,2021,5.5,733.0,"Featuring footage from January 6th rally, interviews with participants, law enforcement, and government officials providing differing perspectives on the events and motives behind them.",2h 19m
The Last Mountain,2021,7.1,629.0,"The unforgettable story of the 30-year-old climber Tom Ballard who disappeared on the so-called killer mountain, Nanga Parbat, in 2019",1h 47m
Mamá o papá,2021,6.0,1400.0,Follows separating couple Flora and Victor who launch a bitter battle to not keep custody of their three children.,1h 30m
Helmet,2021,6.5,3500.0,"A quirky comedy from the heartland of India, it touches upon a topic that is considered embarrassing for most people in India and will showcase the same in a hilariously entertaining manner.",1h 44m
Introduction,2021,6.2,1200.0,A young man travels from South Korea to Berlin to surprise his girlfriend.,1h 5m
Share or Die,2021,3.0,619.0,A mysterious post circulates through social media killing anyone who doesn't share it.,1h 16m
Super Heroes: The Movie,2021,7.2,1200.0,"After a bad breakup, Wonderful Woman and Superbman must work together with the super crew to prevent world domination by an invincible supervillain from the 5th dimension named Bob. Shot in 1998, this superhero parody stars Lisa Guerrero as Wonderful Woman, Ric Borelli as Superbman, and Kevin Glikmann as Bob. Siskel and Ebert would have said it's so campy, the marshmallows cook themselves.",1h 20m
Jamun,2021,7.2,603.0,A dysfunctional family who overcomes their individual difficulties.,1h 32m
The Room,2021,5.7,633.0,"The morning Stella decides to take her own life, a stranger knocks at her door claiming the guest room he booked for the night. Surprised but charmed by this man who seems to know her very well, Stella decides to let him in. But when Sandro, the man who broke Stella's heart, joins them at home, this odd situation turns immediately into chaos.",1h 41m
Implanted,2021,4.5,4900.0,A struggling young woman is implanted with an experimental AI chip. She must fight to survive when it takes control.,1h 36m
Faactory,2021,6.4,700.0,"Yash falls in love with Natasha but is not able to profess his feelings to her. A few years later, he stalks and kidnaps her. Will they fall in love or will his obsession increase with time.",1h 36m
Fight,2021,4.7,3100.0,"Hitting rock bottom, an aging boxer's (Bo Lawson) rivalry within himself restores his vitality with hopes of retraining to fight for what matters most.",1h 32m
House Arrest,2021,2.8,753.0,A few kidnappers are taken hostage by a bunch of kids. Is rat kidnapping a cat possible?,2h 1m
Kûhaku,2021,7.2,626.0,A teenager girl's accidental death incites a media frenzy and causes her harsh father to turn his rage against those he believes are responsible.,1h 47m
Bannerghatta,2021,5.2,721.0,"Storyline One night Ashiq, an acting driver comes to know that his sister,who went out of town for a job interview is in a dangerous situation.",1h 20m
86 Melrose Avenue,2021,5.6,1000.0,"An ex-marine with PTSD storms into a gallery, taking hostages and forcing them to confront their complex past and looming mortality, as time ticks by.",1h 24m
Prababushka legkogo povedeniya. Nachalo,2021,5.0,694.0,"Moscow, 1980s. The master of reincarnation, swindler Vova Rubinshteyn is forced to cooperate with the KGB and carry out a particularly dangerous mission undercover, trying on the image of the temperamental Luiza Karlovna.",1h 31m
The Trip,2021,7.7,1900.0,"This Story is about the unpredictable journey of Goutham, who takes on to experience the best weed in the world not knowing that his life is going to end soon due to drug addiction.",1h 34m
Geranium,2021,6.4,1600.0,"Just before her final exams, 19 years old Defne, has to return to her hometown after her father's stroke. His rehabilitation sessions will give the pair a chance to heal their fragile relationship in this beautiful Mediterranean town.",1h 22m
This Is GWAR,2021,7.7,759.0,"The powerful story of the most iconic heavy metal/art collective/monster band in the universe, as told by the humans who have fought to keep it alive for over thirty years.",1h 52m
David and the Elves,2021,5.3,971.0,"A jaded, overworked elf runs off to the real world where he tries to experience the magic of Christmas with the help of a newly befriended young boy.",1h 45m
Climax,2021,7.2,2500.0,"Multimillionaire Vijay Modi, offers 1 crore to Navya, to spend a night with him in his 7-star suite room and listen to his story. Navya takes the offer. The very next morning, Modi is brutally murdered.",1h 20m
Shukra,2021,7.0,1500.0,A couple enters a city ruled by cruel thugs but an unsettling affair reopens unexpected twists and creates new tensions for them. Will they stick together through it all?,1h 59m
Inve$titorii,2021,6.4,1100.0,"The story of three men, old friends, who work at a car parts factory in a provincial town - When the factory is bought by some foreign investors, the three, along with many other employees, are laid off. They are offered compensatory salaries for one year, so they decide to spend an unforgettable weekend in Bucharest. After a fiery night, they wake up the next day, with hangover, thinking of returning home, but they miss the road and reach the edge of a locality, disoriented and without fuel. Here they are confused by the locals, who, impressed by their appearance, take them as foreign businessmen, who come to invest in the local business. Invited by the mayor to negotiations.",1h 45m
Más liga,2021,6.1,650.0,"A hardcore soccer ultra, Gyula, and his wife, Mariann, long for a baby. But it turns out that Gyula is sterile and when their plans to adopt also go up in smoke, Mariann does a deal behind her husband's back: they will take in the soon to be born child of a young Roma woman. The ensuing state of affairs turns all of their lives upside down. While Gyula has to continually hide the truth from his racist friends, surprises await him in his private life, and when Cupid's arrow strikes him from the most unexpected direction, he is faced with both comical situations and acute moral dilemmas.",1h 32m
Sajan Bakery Since 1962,2021,4.7,527.0,Saajan Bakery Since 1962 revolves around a family-owned bakery that faces sibling rivalry between the two children of the Bakery's founder Saajan.,2h 4m
Dear Future Children,2021,7.4,3900.0,"Three young female activists in Hong Kong, Chile, and Uganda cope with the staggering personal impacts of their activism.",1h 29m
Louis Theroux: Shooting Joe Exotic,2021,6.7,965.0,"This special sees Louis travel to America to investigate the story of a man who has become one of the most controversial and captivating icons of recent times: the gun-toting, self-described 'gay hillbilly' and 'Tiger King' Joe Exotic.",1h 29m
Be Somebody,2021,6.9,1900.0,A group of filmmakers are gathered in a dark and windy night for preparation of shooting a film based on a sensational murder case. It's unrealized that they are placed in the real crime scene and the true murderer is among them.,2h 3m
Eakam,2021,7.2,2400.0,Eakam a philosophical fiction thinly based on the life of Shiva. This type of genre is never been attempted in Telugu. It's has been shot at a record span directed by a debutant B Varun Vamsi under the banner Ananda Thoughts production company and A Kalyan Sastry's Samskruthi Productions. Though there were certain limitations we roped in a young team and shot in various different locations in and around Hyderabad. The undercurrent of the film is a spat on the current stereotypical society. It's a new age drama which follows the five elements of nature viz. Earth fire wind water and sky. The 5 main characters represent each element n how the story unfolds by the jobless god talking about oneness of human souls is the crux of the film.,2h 5m
#dogpoopgirl,2021,6.8,562.0,A woman's dog poops in a Bucharest subway car. The incident is caught on camera by a teenager who posts it on-line. Chaos ensues.,1h 18m
Panchhi,2021,7.5,522.0,"This story revolves around Panchhi, who is psychologically distressed and wants happiness in life. However, his life takes a turn when he is charged with murdering a girl whom he loves.",1h 38m
Sunny,2021,6.7,6400.0,"Sunny loses everything that he earned in his life. Shattered and hopeless, he smuggles himself back from Dubai to Kerala in midst of a global pandemic with his own secret plans.",1h 33m
Point Blank,2021,7.1,1600.0,"A male and a female were killed and an intelligent police officer Adityahas been appointed to solve this case. While he rounds up suspects, the CCTV footage puts the inspector next to the victim before she was murdered.",1h 47m
Sumesh & Ramesh,2021,5.7,601.0,Indhu (Salim Kumar) as a drunkard lazy father and Praveena the Mom narrates atypical mallu drunkard family life. She is the breadwinner of family. Being Jobless teenagers Sumesh & Ramesh roam around like their father & careless .,2h 20m
Swagatam,2021,6.6,1300.0,"When Manav Mehta - a writer comes to his family home in Mangadh to introduce his fiance Jhanvi, he finds out a dead body in the house. Now to save the whole family from accusations he has to refrain everyone to enter the house.",2h
30 Rojullo Preminchadam Ela,2021,5.7,2800.0,"Two college students, Arjun and Akshara, get off on the wrong foot and develop an instant hatred for each other. However, they land in a pickle and realise their connection from a past life.",2h 23m
Night at the Eagle Inn,2021,4.1,684.0,Fraternal twins spend a hellish night at the remote inn their father disappeared from the night they were born.,1h 10m
Aksel,2021,7.4,501.0,"After a brutal crash that permanently damaged his knee, Olympian Aksel Lund Svindal refused to retire.",1h 50m
Divaswapna,2021,8.0,556.0,"Divaswapna is a story of the journey of a village boy named Kanaji who achieved all his dreams with his courage, commitment and passion despite of many odds in his life.",2h 10m
Marathon,2021,5.2,572.0,"An unprofessional documentary film crew follows five amateur runners as they train for Devil's Canyon Marathon, an offbeat desert race organized by Ed Clap, a desperate shoe store owner pulling out all the stops to celebrate its fifteenth year.",1h 22m
The Shipment,2021,3.5,6200.0,A man will become a criminal to save his family.,1h 33m
Adbhutham,2021,7.4,1700.0,"When Surya and Vennela are about to end their lives, a miracle connects these two strangers. They happen to have the same phone numbers, but can't meet.",2h 21m
Kill Plan,2021,2.9,4200.0,A weathered CIA agent is thrown into a web of deception when he uncovers a rogue government plot to unleash a deadly drug on humanity.,1h 11m
Ooriki Uttharana,2021,3.2,2000.0,"In the 1980s, people who fall in love are tied up and killed. After 30 years, Raju falls in love with Shailu. What will happen to between Current Raju and Shailu?",2h 2m
Olof Inc,2021,5.9,711.0,How a Swedish boy grew up to be the CEO of Escobar Inc. High goals and dreams of becoming someone. A camera crew follows Olof Gustafsson for a year. Who is he and what does Escobar Inc do?,1h
100 Days with Tata,2021,7.8,564.0,"During the pandemic, actor Miguel Ángel Muñoz documents his 100-plus days living in a tiny flat with his beloved Tata, 95, who becomes an Instagram star. - Netflix.",1h 22m
Dedo,2021,4.2,532.0,"A comedy about Deedo who plans with his friends to rob the rich scientist (Bayoumi Fouad), who discovers the matter and transforms them by one of his experiments into tom thumbs, which makes them encounter many exciting adventures.",1h 36m
The Drugs Game,2021,2.8,554.0,Charlie returns home from a 10 year prison sentence to find out that things aren't quite like they used to be. He soon finds himself on one hell of a mission to take back the empire that was once his.,1h 35m
Super Over,2021,6.9,690.0,"Luck favours Kaasi and his friends in cricket betting but soon lands them in inevitable trouble. What follows is a chase with unforeseen events and turns, leading to an unprecedented ending.",1h 23m
Suprêmes,2021,6.4,709.0,"Biopic about French cult hip-hop duet Supreme NTM. A story of Paris suburbs, protests, police brutality that shaped the music of JoeyStarr and Kool Shen.",1h 52m
The Horrific Evil Monsters,2021,2.5,739.0,A secret government agency who recruits the most hazardous horror icons to battle a biblical force.,1h 10m
Back Then,2021,6.5,872.0,"Marta is a romantic and a victim of fate. She shares a room with her sister Kasia and their grandmother, who tells her granddaughters insurgent stories instead of fairy tales. In the room behind the wall, their parents Tadek and Elzbieta live their married life. He is an intellect, constantly humiliated by the system, who silently envies his prosperous brother-in-law. She is the president of the company's ""Solidarity"" with the need for freedom and a dream to finally break out of Poland. However, the real emotions for the whole family start when the dream orange toddler stands under the block. This will be an unexpected catapult to the big world: the family will go to Lake Balaton with a toddler with luggage on the roof. Ela and Tadek will discover a vocation to trade and travel abroad, and Marta will fall in love again.",1h 34m
Secrets of Sinauli: Discovery of the Century,2021,9.0,2200.0,The excavations of Sinauli have uncovered secrets that were buried for 4000 years.,56m
Nayeem Diaries,2021,6.4,1100.0,"Nayeem diaries is a story of Nayeem who joined the Naxalites, killed the DIG of Special Intelligence Department (SID) in Hyderabad, went to jail and lived with 100 Naxal prisoners.",2h 20m
Katips,2021,5.8,3700.0,"A tale of the young, in their fight for their ideals, how big can one get against a force too much bigger than yourself?",2h 22m
Knifecorp,2021,4.6,802.0,"High School senior, Wally Banks is selling knives door to door, and gets trapped in a man's house with a dark secret and must escape before it's too late.",1h 27m
Mexican Moon,2021,5.4,2200.0,"The drug cartels are putting a financial strangle hold on a small Texas town, forcing a Vietnam vet to lose his job at a local garage. He soon learns about one hundred thousand dollars buried by the cartel in a false grave.",1h 41m
Deadly Promises,2021,3.6,1300.0,"At Castle Park High, both Dillon and Travis have a crush on Megan. Dillon would kill for her but not if a hidden secret in the basement kills them first.",1h 21m
Clue: A Love Thriller,2021,7.0,2100.0,Rohit complaints at the police station that his wife Pavithra is kidnapped by three youngsters. The CI starts investigating the case but was shocked to see that the criminals are killed one by one by an unknown person before he reaches the criminals. Who killed these youngsters and what is the real story for the murders is the plot of the film?,2h 3m
Din: The Day,2021,3.0,2200.0,"Comedian Superstar AJ makes a comeback as a SWAT member in an action parody. Inspired by House Lannister, AJ is also fireproof in this film.",3h 28m
Sara's,2021,6.5,2500.0,"Associate director Sara, is struggling to do her first project. Will she be able to succeed with her decisions and get things right?",1h 59m
Hoodman,2021,3.6,4400.0,An urban legend haunts a small town as a troubled young woman seeks to find her missing child. A relentless detective pieces together clues that lead them both to a suspected killer.,1h 38m
Sundari,2021,5.9,1200.0,"This is a story of a village girl married to a software employee, who is head over heels with her beauty. Life takes an unexpected turn, when her husband loses his job and she is forced to take a few steps, which cause her emotional turmoil.",1h 52m
MMOF,2021,5.6,1600.0,""" MMOF"" is unflinching and deals with the fury of a man pushed to the limits. Deepak (a mild-mannered, honest to the bone man) who tries to make ends meet by running a Cinema Theatre passed onto him by his father along with his family. A series of unexplained murders happening at his theatre force him through a roller-coaster ride filled with a whirlwind of emotions - The basic premise of ""MMOF"" is how Deepak solves this twisted jigsaw puzzle of a murder mystery and finds the Killer.",1h 48m
Zeher Tulugu,2021,8.0,2200.0,"Adil continues his journey in cinema. There are two lines about Adil's life. One of them is modern day, which Adil try to save pregnant Leyla's child from abortion, and another one is about past of Adil.",1h 47m
Ritorno al crimine,2021,5.4,534.0,"After coming out unscathed from the meeting with the ""Banda della Magliana"", four friends, improvised criminals, are on the trail of a woman on the run, who stole all their money.",1h 45m
Gasht-e ershad 3,2021,2.6,843.0,Hassan and Atta return from the United States a few years later. They are looking for Abbas Agha's car. The car has been rented to a person named Peykan.,1h 44m
Poster,2021,6.7,2100.0,"Without problems no human being is on earth it can be love, study, career or anything else. Suicide is not the solution to any problem. We can make our future bright and beautiful, if we can give some space to move ahead, Our film is based on a person story, to whom, first avoided and neglected by everyone. But later the same people welcomed him.",2h 23m
Thaen,2021,8.0,664.0,Thaen is based on the real-life incident of an economically-backward husband who carried his dead wife to the cremation ground as he was unable to pay for the mortuary van.,1h 44m
Holiday Monday,2021,3.0,730.0,"Two men are hired to protect a man who is fleeing a drug syndicate. The initial meeting turns into chaos and with a dead body, briefcase of stolen money and an assassin on their tail, Nick and Derek are going to have to do more than just protect - they are going to have to kill.",1h 35m
Lo inevitable,2021,4.1,1500.0,"A religious family takes refuge in an old country house. The radio announces that only the chosen ones will be saved. But the appearance of an intruder who claims to be a ""savior"" puts their faith and fate at risk.",1h 37m
Muddy,2021,6.1,4000.0,"Muddy is an adventurous thrilling movie that has several breathtaking moves which was brilliantly done by our Artists without any dupe. The mud race is choreographed by the Director, Dr. Pragabhal.",2h 17m
The Braves,2021,6.7,508.0,Two young and carefree aspiring actresses chase their theater dreams in the streets of Paris until sudden hardship threatens their plans and tests their sisterhood.,1h 39m
Gritt,2021,6.2,557.0,"A struggling artist searching for a home for herself and her artistic vision, struggling for relevance and belonging in an unwelcoming society. Undeterred by a lack of support, she embarks on a mission to bury capitalism and patriarchy.",1h 58m
The Claus Family 2,2021,5.6,1100.0,"Jules Claus has embraced Christmas again and is getting ready for the busiest time of the year together with grandpa Noël. Everything seems to go according to plan, until Jules receives a very special letter with an intriguing question.",1h 37m
Shelter in Place,2021,3.5,715.0,"When a global pandemic limits travel, a honeymooning couple finds themselves stranded at the Hollywood Roosevelt Hotel.",1h 29m
"Prvok, Sampon, Tecka a Karel",2021,6.4,626.0,Four friends battle their midlife crisis by completing several challenges.,1h 58m
Merise Merise,2021,6.3,750.0,"It's about two different characters in their 20s, Vennela & Siddu. They have setbacks in their lives. How they meet, change for good, sort life and become successful forms the movie.",2h 2m
Centervagt,2021,2.2,653.0,"As the head of an ailing shopping center wants to cut back on security staff, the two security guards Glen and MC have to resort to unconventional methods of keeping their jobs.",1h 25m
One and the Same,2021,4.0,5000.0,An experiment beyond space and time sends a young woman on a mission to punish the ex-con who killed her in a past life.,1h 50m
Star,2021,3.4,1400.0,"Star is about a couple, Roy (Joju) and Ardra (Sheelu). Married for 17 years and living happily with their children, their life turns upside down once Ardra, a homemaker, encounters some eerie situations.",2h
Întregalde,2021,6.7,1600.0,"A humanitarian mission arrives in Transylvania, offering goods to locals. Maria and Dan, despite conflicts, find themselves assisting a disoriented local.",1h 44m
Outlier,2021,3.4,665.0,"An entry in the new sub-genre of ""movies made in lock-down"". Olivia Davis escapes her abuser with the help of a kind stranger, but his intentions are not yet clear to her. She must figure out the situation and escape her nightmare.",1h 20m
The Odd-Job Men,2021,6.5,625.0,A peculiar team of three handymen has to face a series of eccentric clients. Their everyday job becomes a surrealist and exhilarating experience.,1h 25m
Descarrilados,2021,4.6,994.0,Three lifelong 40-year-old friends go on a huge Interrail tour to honor their recently deceased friend.,1h 38m
Khel Khel Mein,2021,5.2,632.0,The plot of Khel Khel Mein revolves around the ever growing myths and mistrust after the fall of Dhaka.,2h 11m
Paani Ch Madhaani,2021,5.9,1800.0,The story is about a flop singer Gulli and his group who focus on shortcuts (jugaad) for gaining success.,2h 7m
