Title,Year,Rating,Votes,Synopsis,Runtime
Kaagaz,2021,7.3,9700.0,A satirical comedy about a common man and the struggle he goes through to prove his existence after being falsely being declared dead on government records.,1h 49m
Hotsunlight,2021,4.6,705.0,"Lugansk region, May 2014. The Novozhilov family, by chance, finds itself in the thick of events in Lugansk. Vlad Novozhilov is a former participant in the war in Afghanistan. He knows firsthand what war is. Having seen enough of the horrors of war in his time, in principle he does not even want to touch a weapon. In a situation, he sees only one way out - to leave the country. But you can't run away from the war, the border is already closed. To save his family, he will have to make difficult moral choices.",2h 13m
Hero,2021,6.4,907.0,"Hero is a Kannada movie starring Rishab Shetty and Pramod Shetty in prominent roles. It is a drama directed by M. Bharath Raj with Rishab Shetty as producer, forming part of the crew.",2h 5m
Kaiserschmarrndrama,2021,6.9,1600.0,"A homicide in the little Bavarian village of Niederkaltenkirchen, relationship problems, and a lot of Bavarian charm.",1h 36m
The Story of Film: A New Generation,2021,7.3,877.0,Mark Cousins offers hope and optimism while he explores different movies and talks about how technology is changing the course of cinema in a new century and how Covid continues the process.,2h 40m
They Talk,2021,3.7,513.0,"Alex, a sound engineer, accidentally records mysterious voices: disturbing messages from the afterlife who warn him against an imminent and terrifying danger. Amanda, with whom he shares a terrible secret, re-emerges from his past. The appearance of the young woman triggers chilling paranormal phenomena that leave behind a trail of corpses. Is she the danger the voices of the dead speak about?",1h 36m
Aanum Pennum,2021,5.6,668.0,An anthology film that takes you through three different eras in the history of Kerala with three different stories.,1h 37m
The Book of Fish,2021,7.5,950.0,"The story of Jeong Yak-yong's brother, Jeong Yak-jeon when he was exiled to Heuksando in 1801, and meets an energetic young fisherman.",2h 6m
Are You Lonesome Tonight?,2021,6.3,871.0,"On a dark night, Xueming hits a pedestrian with his car and flees the scene. Desperate to escape his feelings of guilt, he decides to approach the dead man's wife, Mrs Liang. Meanwhile, the body is discovered - riddled with bullets. Chen, the detective in charge of the investigation, becomes obsessed with the case. Years later, all three remain caught in a tangled web of memories and lies, desperately searching for a truth that refuses to be revealed.",1h 35m
Caught by a Wave,2021,5.8,1600.0,A summer adventure under the Sicilian sun soon becomes a painful love story,1h 39m
The Toll,2021,5.8,1600.0,A darkly-comic thriller about a lone tollbooth operator whose past is quickly catching up with him.,1h 23m
Persona: The Dark Truth Behind Personality Tests,2021,5.6,900.0,"Exploring the unexpected origins of America's obsession with personality testing, this documentary takes a look at the profound ways that ideas about personality have formed the world around us.",1h 25m
The Magic,2021,6.1,936.0,"The Magic is a holiday love story about a hotshot attorney David Kane (Emmy® winner Kristos Andrews) who loses the Christmas spirit and closes his heart to love following a tragic loss fifteen years earlier. Now, with the help of his guardian angels, twin sisters Mary Lou and Misty (Bianca D'Ambrosio and Chiara D'Ambrosio), David soon finds himself falling for paralegal Carolina Castillo (International star Alejandra Espinoza) and believing in the magic of Christmas all over again.",1h 46m
Prime Time,2021,5.2,2000.0,"On New Year's Eve 1999, an armed man enters a TV studio during a broadcast, takes the host hostage and makes one demand: to give a message live on air.",1h 33m
Toubab,2021,6.6,658.0,To prevent imminent deportation two small-time gangsters are willing to do anything.,1h 36m
You Might Get Lost,2021,4.7,618.0,"Arlene, devastated by her son's death, accepts a chance from the Endeavour Institute to alter the past. She must navigate memories and maintain balance, unaware of the high cost involved.",1h 34m
Still Out of My League,2021,5.7,1100.0,"Marta and Arturo broke up. Marta is now involved in a relationship with Gabriele, but, out of pure jealousy, he makes a big mistake. While everything seems to be going wrong, an unexpected news arrives: there's a compatible donor for Marta",1h 54m
